x,y,z
1.729735454089172,2.3789235033172016,-1.399808642717909e-06
1.7360033327809412,2.416959760831216,-2.0725094024565127e-06
1.7419067715216596,2.4632597722966607,-2.4918137683412056e-06
1.7467913838762736,2.5113377507026144,-2.651862186089232e-06
1.7506954006589293,2.5598223233643704,-2.754110897101175e-06
1.7536825513203746,2.608447057780682,-9.967203713004413e-07
1.7561302838375468,2.657958541537009,-3.140990992897552e-06
1.7586018871702394,2.7077777682792443,-3.3162931819333274e-06
1.7612461639698402,2.7575473147877316,-2.2606831591200083e-06
1.7640494545095615,2.807302903362366,-1.4690009463962095e-06
1.7669779278338154,2.85704555991701,-2.8794372002420576e-06
1.7705305641201794,2.9060703852250462,-1.224029756503875e-06
1.7748535864596227,2.955165133875031,-2.893194025074125e-06
1.780038461135077,3.0041593698264286,-3.1134877345011247e-06
1.786197006479899,3.0519653495757417,-3.379230119435195e-06
1.7936743370073471,3.099317640474908,-3.619643710706111e-06
1.8008042899281715,3.137453053533568,-3.14049686206061e-06
1.8068027889325986,3.165660930570866,-4.857864664808975e-06
1.8111273826468304,3.183875761604894,-3.2985098276615277e-06
1.8133109881471956,3.192444330730453,-1.7465054927244539e-06
1.813753976003198,3.194420408078792,-3.4068878002196934e-06
1.8137843431575182,3.1948611163903733,-3.137291417112942e-06
1.8175456904572114,3.2036878102991997,2.0013480772178294e-06
1.8256650722797678,3.2211228545625716,-2.618970657605746e-06
1.8395594134675575,3.247115019128009,-2.658233393675047e-06
1.8598218717417538,3.2809493389651387,-3.453688482625561e-06
1.8855489153680847,3.3204253497677585,-1.5291286824779815e-06
1.9132608029046418,3.3603747211487804,-2.7370027377883466e-06
1.9419504506372158,3.3997714779016395,-2.276222621770685e-06
1.9718075241632333,3.439240582136952,-1.280451336519578e-06
2.002164927785955,3.478445547010883,-2.115178775578125e-06
2.0328544955259,3.517380735645415,-2.264391140822941e-06
2.0638793452518107,3.556058497624421,-1.1627201143941945e-06
2.0952292594440944,3.594482042428233,-2.0381429287931463e-06
2.1268907544777544,3.6326416342083467,-2.2391061077348118e-06
2.1588679175064454,3.670545332749938,-1.1491515279939135e-06
2.191151580105123,3.70819596589228,-1.9836085734421804e-06
2.2237320105198597,3.7455996513502714,-2.2054876812442614e-06
2.2565971487108514,3.782762880653019,-1.1243998628250595e-06
2.289737587561938,3.819687945506346,-1.942431404302475e-06
2.32314511048762,3.856390904499869,-2.1585201645697716e-06
2.356797322277509,3.8928788448005696,-1.0952738448699595e-06
2.3906814616845815,3.929243351258521,-1.868764777378934e-06
2.424603391027772,3.96562947005165,-2.0047438095034675e-06
2.4583262998385567,4.002092216101787,-1.040741081842489e-06
2.485719069446215,4.031997817101893,-4.453052511760314e-06
2.5061973529001924,4.054625539723401,1.1529243219079999e-06
2.5199359409349644,4.07004653021498,1.0148375149468536e-06
2.5268526762183696,4.078112115991222,-3.4765012275374263e-06
2.5293060428885448,4.081619830227301,-4.776535908298379e-06
2.5288007739248295,4.0817920829874,-4.743610625114469e-06
2.5333954486840624,4.089148216523292,-3.3901428189986316e-06
2.542959668813144,4.104847605050231,-8.328931185713762e-07
2.5566873213358057,4.13000786100636,1.1799834003442533e-06
2.5725806169617775,4.1636456307817875,-6.5972811597384e-07
2.589534388319872,4.202407724008533,-9.009364612816428e-07
2.6085234287692862,4.2448339981540615,-3.156641471126903e-06
2.62873221421844,4.288955054522929,-1.3316661203015279e-06
2.6478737574232056,4.33313806654759,-2.1597848375055906e-06
2.666651887095365,4.37875669429922,-2.1457421681761457e-06
2.6854701619107875,4.424695022086253,-1.3493173097456346e-06
2.7046966594818835,4.46995210664432,-2.9409905377107692e-06
2.724692011713703,4.514780657659296,-2.484935898699331e-06
2.745106647051638,4.557691214400347,-2.664815061816095e-06
2.76678647763748,4.599650152112406,-3.5260824049719586e-06
2.7899095737662414,4.640986223746944,-2.06287688626558e-06
2.8144387718995043,4.681726865112096,-2.4869605304359e-06
2.840294193688789,4.721830625369193,-1.5081566179971084e-06
2.867397811841343,4.7612596350804735,-3.1824002924597805e-06
2.8960010852018274,4.8006792610209645,-2.332962108712866e-06
2.9256944336774593,4.84005015315194,-2.403809231586035e-06
2.955979579322828,4.878996200297543,-1.218632643709e-06
2.986804765660359,4.917543280599567,-2.421108563223362e-06
3.018146758282401,4.9557231606077545,-1.3255590579769327e-06
3.049966715520412,4.993538904266327,-2.0125292060808875e-06
3.082236684559359,5.0309856273921945,-2.338914653263885e-06
3.112144693792736,5.0661840682781705,-1.4645102804841659e-06
3.1349561136303117,5.09490040114173,-1.8585190158203202e-06
3.150795923332777,5.116337539529127,-9.82379311776499e-07
3.1601497361428876,5.130119498006973,6.247757677151078e-07
3.163584942675163,5.135940000491008,-1.1250931580761292e-06
3.163201102198533,5.136206712141682,-3.401553625676651e-06
3.166856183709501,5.143943102024942,-2.4915815756004767e-06
3.174729214084748,5.161044036599413,-3.6014985303860214e-06
3.1854548527436335,5.187682690717352,-3.4621418398793347e-06
3.197896630615348,5.223998200179455,1.100206629932321e-06
3.211069519310736,5.268156040762933,6.836029280803124e-07
3.2241466275682593,5.315735078967999,2.869866159230239e-07
3.2368677844087292,5.363666603392204,2.861348593376223e-07
3.246818783445278,5.402699422057329,-3.2571990329736955e-06
3.253945936983089,5.432111844586875,-2.9393518206355385e-06
3.2583825341895234,5.451883546142818,-2.6672155981413703e-06
3.260432114550542,5.4622253910983245,-1.310146432124265e-06
3.2615986248073763,5.467783525029884,2.0325286869890546e-06
3.2616810979183217,5.4686559275511755,1.8297085271588853e-06
3.26169472187454,5.469101596760465,-3.6540219214599434e-06
3.26171442422385,5.469477438218236,-3.0959150592764495e-06
3.2656894163628225,5.478303654692313,-2.6104747057713318e-06
3.274456769205011,5.495693975120457,-2.486679379281459e-06
3.2892587064158287,5.521151104706802,-2.7716726130298797e-06
3.311182473479762,5.5540541973003235,7.011472212894998e-08
3.337062174583089,5.589806176297783,-1.6576250744700094e-06
3.365236413925284,5.628526319296939,-1.8326312827762758e-06
3.3917178396220518,5.66706225325701,-6.025888361071985e-07
3.4189364688061823,5.708431753921013,-2.510859285563549e-06
3.4462721604029003,5.749978628645098,-1.4491739202364406e-06
3.473740620615627,5.791356140088964,-2.6783969526433804e-06
3.5014795794504905,5.832530996417606,-2.3012565944259544e-06
3.529499545536489,5.873504538851671,-2.5655338383549775e-06
3.5575181875361874,5.913688975553541,-2.6487696175130082e-06
3.5860519839459997,5.953293932364714,-1.3361451825684434e-06
3.6153533315155646,5.9922440207268,-2.4804947989891246e-06
3.6454789796313225,6.030602794609252,-2.723505155691197e-06
3.6764637449761493,6.068498489315325,-1.209948323161597e-06
3.7083118671240327,6.10629841655308,-2.331552468773368e-06
3.740599647955868,6.143973220399071,-2.3456808854460665e-06
3.7731515579364103,6.181456416036955,-8.848480122433666e-07
3.805938735206081,6.218738478042511,-2.216993547903001e-06
3.838952407958201,6.255823317628415,-2.303257591863145e-06
3.865938210999288,6.2857700176703055,-2.0398755541661817e-06
3.886391097816275,6.308131161545485,-8.647508633642664e-07
3.900162670209189,6.323045062382086,-2.2018915815415208e-06
3.9071063512531508,6.33065561222045,-7.857715668413423e-07
3.9100681419126326,6.334371347872625,-3.520177040899214e-06
3.918873043608018,6.344404780616183,-6.847230628326262e-07
3.9339888295205814,6.362172130931016,-1.858119305163386e-06
3.9550436637551334,6.388014684377834,-1.8163164744559868e-06
3.9816381935159524,6.422232279019879,-1.7738747630537122e-06
4.011047806828812,6.461457807869558,-2.1950175012018514e-06
4.040428523174802,6.501342472382769,-9.047045056928549e-07
4.069528846160862,6.541462563236389,-2.042698631316703e-06
4.098502861701017,6.581832100093454,-2.3657529633451524e-06
